statement,label,cleaned_text
Says Texas Senate hopeful Donna Campbell doesnt live in the district shes hoping to win in 2012.,0,says texas senate hopeful donna campbell doesnt live in the district shes hoping to win in 
The state covered a smaller percentage of the cost of K-12 education in 2013 than it did in 2002.,1,the state covered a smaller percentage of the cost of  education in  than it did in 
The government does not need a warrant to read your old emails.,1,the government does not need a warrant to read your old emails
"Says Gov. Scott Walker has led people to believe that if Wisconsin doesnt implement a (health-care) exchange, Obamacare doesnt happen here.",0,says gov scott walker has led people to believe that if wisconsin doesnt implement a healthcare exchange obamacare doesnt happen here
The poorest in this country are women.,1,the poorest in this country are women
Says Dow Chemical decided to build a plant in Saudi Arabia rather than Oklahoma due to the impact of environmental regulations on the supply of natural gas.,0,says dow chemical decided to build a plant in saudi arabia rather than oklahoma due to the impact of environmental regulations on the supply of natural gas
Says Richard Devlin raised your taxes by $1 billion in a single day.,1,says richard devlin raised your taxes by  billion in a single day
"The head of the IRS ordered 24,000 emails erased before Congress could review them, making sure the American people will never know the real truth.",0,the head of the irs ordered  emails erased before congress could review them making sure the american people will never know the real truth
Says in Newark were paying 80 percent of the school budget from local property taxes.,0,says in newark were paying  percent of the school budget from local property taxes
"Georgia has the nations fifth largest Women, Infants and Children (WIC) Supplemental Nutrition program, serving more than 270,000 mothers, babies and children every day.",1,georgia has the nations fifth largest women infants and children wic supplemental nutrition program serving more than  mothers babies and children every day
Says she created the first felony deferred prosecution program for nonviolent first-offenders in Texas.,0,says she created the first felony deferred prosecution program for nonviolent firstoffenders in texas
"Says when an interviewer asked Donald Trump if he treats women with respect, Trump replied, I cant say that.",0,says when an interviewer asked donald trump if he treats women with respect trump replied i cant say that
We spend about 75 percent of the entire cost of the military aspect of NATO.,1,we spend about  percent of the entire cost of the military aspect of nato
"In every state, women are paid less than men.",1,in every state women are paid less than men
"Theres only one of us whos actually cut government spending -- not two, theres one and youre looking at him.",1,theres only one of us whos actually cut government spending  not two theres one and youre looking at him
The health care bill cuts the deficit by over $1 trillion dollars.,1,the health care bill cuts the deficit by over  trillion dollars
Says Newt Gingrich has said that we should make the 11 million illegal workers that are in this country legal.,0,says newt gingrich has said that we should make the  million illegal workers that are in this country legal
"In 2008, when Flint had 265 sworn officers on their police force, there were 35 murders and 91 rapes in this city. In 2010, when Flint had only 144 police officers, the murder rate climbed to 65, and rapes climbed to 229.",1,in  when flint had  sworn officers on their police force there were  murders and  rapes in this city in  when flint had only  police officers the murder rate climbed to  and rapes climbed to 
Says he can be on the ballot for Congress while serving time in jail.,1,says he can be on the ballot for congress while serving time in jail
Says a national Coca-Cola study showed Texans love Texas more than residents of any other state love their state; Wisconsinites ranked second.,0,says a national cocacola study showed texans love texas more than residents of any other state love their state wisconsinites ranked second
"Obama ""only wants your children to have health insurance.""",0,obama only wants your children to have health insurance
The Fair Tax proposal encourages innovation and investment level the playing field for American companies to compete globally.,1,the fair tax proposal encourages innovation and investment level the playing field for american companies to compete globally
Says the federal government is earning more tax revenue now than any other time.,0,says the federal government is earning more tax revenue now than any other time
The United States was not one of 16 countries where David Perdue said in his Pillowtex deposition that he created jobs.,0,the united states was not one of  countries where david perdue said in his pillowtex deposition that he created jobs
Maggie Hassan missed nearly every university system board meeting.,1,maggie hassan missed nearly every university system board meeting
"Donald Trump said he was excited for the 2008 housing crash that devastated millions of American families, because he thought it would help him scoop up more real estate on the cheap.",1,donald trump said he was excited for the  housing crash that devastated millions of american families because he thought it would help him scoop up more real estate on the cheap
Says Josh Mandel opposed federal loans to the auto industry.,0,says josh mandel opposed federal loans to the auto industry
"Says in our gun laws were allowing domestic abusers to sidestep this ban on getting a gun. The loophole allows a convicted abuser to walk into a gun show and walk out with a gun, no questions asked.",1,says in our gun laws were allowing domestic abusers to sidestep this ban on getting a gun the loophole allows a convicted abuser to walk into a gun show and walk out with a gun no questions asked
A substantial number of probationers participating in a pilot project to ease the farm labor shortage are able to finish the work.,0,a substantial number of probationers participating in a pilot project to ease the farm labor shortage are able to finish the work
Says the Simpson-Bowles deficit reduction proposal urged raising $2 trillion in new revenue.,0,says the simpsonbowles deficit reduction proposal urged raising  trillion in new revenue
"The high-speed rail project would create 60,000-plus jobs for Floridians.",0,the highspeed rail project would create  jobs for floridians
Today almost half our debt is owned by foreigners.,1,today almost half our debt is owned by foreigners
Says he was the only Republican to vote against creating a House panel to investigate Planned Parenthood.,1,says he was the only republican to vote against creating a house panel to investigate planned parenthood
"So far in 2015, there have been more mass shootings than days.",0,so far in  there have been more mass shootings than days
Republican candidate for governor Nathan Deal fought to weaken Georgias rape shield law.,1,republican candidate for governor nathan deal fought to weaken georgias rape shield law
"Nothing was done. I mean, $25 million was spent, but we dont have that (gun ownership)database.",0,nothing was done i mean  million was spent but we dont have that gun ownershipdatabase
Aaron Bean voted to give illegal immigrants in-state tuition.,1,aaron bean voted to give illegal immigrants instate tuition
Says he has a track record of not raising taxes.,0,says he has a track record of not raising taxes
Almost 40 percent of all (undocumented)immigrants come by plane and they overstay their visas.,1,almost  percent of all undocumentedimmigrants come by plane and they overstay their visas
"Last year, Obama administration officials released into our neighborhoods more than 36,000 criminal immigrants who had nearly 88,000 convictions. The crimes included hundreds of convictions for murder, rape and kidnapping and thousands of drug-related crimes.",1,last year obama administration officials released into our neighborhoods more than  criminal immigrants who had nearly  convictions the crimes included hundreds of convictions for murder rape and kidnapping and thousands of drugrelated crimes
"Commercial buses in the United States have a stellar safety record, a safety record that exceeds that of any other commercial mode or surface transportation mode.",1,commercial buses in the united states have a stellar safety record a safety record that exceeds that of any other commercial mode or surface transportation mode
Were No. 1 in child hunger.,1,were no  in child hunger
"Here, we have Thanksgiving, we have Christmas, we have the 4th of July. Every year in Iran, they celebrate Death to America day.",0,here we have thanksgiving we have christmas we have the  of july every year in iran they celebrate death to america day
"The pension fund in the city of Providence is only 30 percent funded, about the same level as when he [Taveras] took office.",1,the pension fund in the city of providence is only  percent funded about the same level as when he  took office
Florida sends $135 billion and D.C. returns $150 billion.,1,florida sends  billion and dc returns  billion
Says President Barack Obama delivered $2 billion to Brazil to help with offshore drilling projects.,0,says president barack obama delivered  billion to brazil to help with offshore drilling projects
Opponent Glenn Hegar expressed pride in legislated cuts to public school funding.,1,opponent glenn hegar expressed pride in legislated cuts to public school funding
One. Thats the number of new drilling permits under the Obama administration since they came into office.,0,one thats the number of new drilling permits under the obama administration since they came into office
We just had someone last week in Neenah near a school kill someone with a bow and arrow.,0,we just had someone last week in neenah near a school kill someone with a bow and arrow
"The Obama administration offered $900 million to Hamas, a recognized terrorist organization, to rebuild Gaza.",0,the obama administration offered  million to hamas a recognized terrorist organization to rebuild gaza
Says Wisconsin Gov. Scott Walker is making voting more difficult by closing Department of Motor Vehicles offices where low-income voters live.,0,says wisconsin gov scott walker is making voting more difficult by closing department of motor vehicles offices where lowincome voters live
University of Wisconsin Systems reserves are in the mid- to low-range of comparable university systems.,1,university of wisconsin systems reserves are in the mid to lowrange of comparable university systems
"I won the South Carolina primary in 2004, and I was way behind in the polls at this stage in 2004.",1,i won the south carolina primary in  and i was way behind in the polls at this stage in 
"(Big banks) have invested over $300,000 in (Joe Heck), and Heck has sponsored $44 million dollars in tax breaks for banks.",0,big banks have invested over  in joe heck and heck has sponsored  million dollars in tax breaks for banks
"The alternative to higher state worker pension and health care payments is to look at 1,500 layoffs of state employees or close to 200,000 children who would be bumped off Medicaid-related programs.",0,the alternative to higher state worker pension and health care payments is to look at  layoffs of state employees or close to  children who would be bumped off medicaidrelated programs
"Contrary to popular belief, we actually dont have that many public employeesWe are well below average in the number of public employees.",1,contrary to popular belief we actually dont have that many public employeeswe are well below average in the number of public employees
"Right now, we have the lowest gas tax of anywhere in the country.",1,right now we have the lowest gas tax of anywhere in the country
"Says Hillary Clinton and Tim Kaine want to shut down shale, and shut down natural gas.",1,says hillary clinton and tim kaine want to shut down shale and shut down natural gas
When President Obama was running for re-election Senator Sanders was trying to find someone to primary him.,1,when president obama was running for reelection senator sanders was trying to find someone to primary him
Providence has amongst the highest tax rate(s) in the entire country.,1,providence has amongst the highest tax rates in the entire country
"There was never a single shred of evidence presented to anyone thatthe attacks in Benghazi, Libya, were spontaneous, and in fact, the CIA themselves understood that early on.",1,there was never a single shred of evidence presented to anyone thatthe attacks in benghazi libya were spontaneous and in fact the cia themselves understood that early on
"To help balance the 2011-13 budget, Gov. Scott Walker used a credit card approach that pushed over $500 million in debt onto our children and our grandchildren costing state taxpayers more than $150 million in interest.",1,to help balance the  budget gov scott walker used a credit card approach that pushed over  million in debt onto our children and our grandchildren costing state taxpayers more than  million in interest
SaysBarack Obama voted for the very same language ofIndianas Religious Freedom Restoration Act when he was in the Illinois state Senate. Sexual orientation doesnt have anything to do with this law.,1,saysbarack obama voted for the very same language ofindianas religious freedom restoration act when he was in the illinois state senate sexual orientation doesnt have anything to do with this law
If Senator Clinton or John McCain had stood up in previous years for increases in fuel efficiency standards . . . then we would not be in this same situation in the first place.,1,if senator clinton or john mccain had stood up in previous years for increases in fuel efficiency standards    then we would not be in this same situation in the first place
"Among the money spent on health care in the United States, ""46 cents on every dollar spent is through Medicare and Medicaid.""",1,among the money spent on health care in the united states  cents on every dollar spent is through medicare and medicaid
Says Democratic state Sen. Jim Holperin voted against a property tax freeze in 2009 and then voted for a $1.5 billion property tax hike.,0,says democratic state sen jim holperin voted against a property tax freeze in  and then voted for a  billion property tax hike
Today the Walton family of Walmart own more wealth than the bottom 40 percent of America.,1,today the walton family of walmart own more wealth than the bottom  percent of america
Says Mitt Romney was director of a company that stole millions from Medicare.,1,says mitt romney was director of a company that stole millions from medicare
Middle-class Americans pay a higher tax rate than millionaires and billionaires.,1,middleclass americans pay a higher tax rate than millionaires and billionaires
On high-speed rail.,0,on highspeed rail
Winning enough pledged delegates is not impossible.,1,winning enough pledged delegates is not impossible
"Atlanta now has as many visitors as Las Vegas, San Diego and Los Angeles. Orlando, Fla., and New York City still have more visitors.",1,atlanta now has as many visitors as las vegas san diego and los angeles orlando fla and new york city still have more visitors
"The Bush administration pulled the troops out of Afghanistan, pulled the resources away, because they wanted to invade Iraq instead.",1,the bush administration pulled the troops out of afghanistan pulled the resources away because they wanted to invade iraq instead
"Bill OBriens Tea Party legislature tried to repeal kindergarten and compulsory education, defund Planned Parenthood and eliminate insurance coverage for birth control.",0,bill obriens tea party legislature tried to repeal kindergarten and compulsory education defund planned parenthood and eliminate insurance coverage for birth control
Says Proposition 205 blocks market entry for new marijuana dispensaries.,0,says proposition  blocks market entry for new marijuana dispensaries
"This is the same (farm) bill we voted on a few weeks ago, with the exception of one or two sentences.",0,this is the same farm bill we voted on a few weeks ago with the exception of one or two sentences
"Says none of the government programs targeted for elimination or severe cutback in House Republican spending plans appeared on the GAOs list of government programs at high risk of waste, fraud and abuse.",1,says none of the government programs targeted for elimination or severe cutback in house republican spending plans appeared on the gaos list of government programs at high risk of waste fraud and abuse
We refused to balance the budget on the backs of our children.,0,we refused to balance the budget on the backs of our children
A majority of the American people opposed the health care law when it was signed and still oppose it today.,1,a majority of the american people opposed the health care law when it was signed and still oppose it today
"When Chuck Schumer and Marco Rubio tried to push amnesty, it was Ted Cruz who stopped them.",0,when chuck schumer and marco rubio tried to push amnesty it was ted cruz who stopped them
"Hillary Clinton has already said shes going to wipe out the Second Amendment. She doesnt believe in the First Amendment. And, she also believes in big government, which flies in the face of the 10th Amendment",0,hillary clinton has already said shes going to wipe out the second amendment she doesnt believe in the first amendment and she also believes in big government which flies in the face of the  amendment
"Ohio lost 400,000 jobs on his (Ted Stricklands) watch.",1,ohio lost  jobs on his ted stricklands watch
"Says Virginia, Florida and Georgia are the three states that are the principal source for gun trafficking.",1,says virginia florida and georgia are the three states that are the principal source for gun trafficking
Says Hillary Clinton shows up in Broward County and had a private meeting with elections supervisor Brenda Snipes.,0,says hillary clinton shows up in broward county and had a private meeting with elections supervisor brenda snipes
Voter fraud provided a portion of the margin of victory of Democrat John Lehman over Republican Sen. Van Wanggaard in a state Senate recall election.,0,voter fraud provided a portion of the margin of victory of democrat john lehman over republican sen van wanggaard in a state senate recall election
"Clayton County has employed 1,300 people over the past seven months through the Neighborhood Stabilization Program.",1,clayton county has employed  people over the past seven months through the neighborhood stabilization program
"Health care reform plans being consided in Congress ""will finally reduce the costs of health care.""",1,health care reform plans being consided in congress will finally reduce the costs of health care
"Mayor Tom Barretts policies drove unemployment up 27 percent in Milwaukee, pushing it to one of Americas 10 worst cities for unemployment.",1,mayor tom barretts policies drove unemployment up  percent in milwaukee pushing it to one of americas  worst cities for unemployment
Two-thirds of our kids cant read at grade level.,1,twothirds of our kids cant read at grade level
"Our debt now is about $140,000 per household.",1,our debt now is about  per household
"Under Charlie Crist, Florida lost 825,000 jobs and the unemployment rate increased from 3.5 percent to 11.1 percent.",1,under charlie crist florida lost  jobs and the unemployment rate increased from  percent to  percent
"The Massachusetts health care plan dealt with 8 percent of our population, far less than the 100 percent of American people affected by President Barack Obamas health care law.",0,the massachusetts health care plan dealt with  percent of our population far less than the  percent of american people affected by president barack obamas health care law
Georgias illegal immigration crackdown laws should be called the Brown Codes because of their similarity to the Black Codes governing blacks after the Civil War.,0,georgias illegal immigration crackdown laws should be called the brown codes because of their similarity to the black codes governing blacks after the civil war
Says Ken Cuccinelli tried to make it more difficult for mothers to obtain divorces.,1,says ken cuccinelli tried to make it more difficult for mothers to obtain divorces
Incoming House Speaker Dean Cannon and incoming Senate President Mike Haridopolos have said they plan to champion efforts next legislative session to allow oil rigs off Florida's coast.,1,incoming house speaker dean cannon and incoming senate president mike haridopolos have said they plan to champion efforts next legislative session to allow oil rigs off floridas coast
Says his comment about extremists being a JV team wasnt specifically referring to Islamic State.,0,says his comment about extremists being a jv team wasnt specifically referring to islamic state
"One man (New Castle, Del., County Executive, Chris Coons) thought property taxes should be hiked almost 50 percent.",1,one man new castle del county executive chris coons thought property taxes should be hiked almost  percent
"NAFTA, signed by Bill Clinton, has been a disaster for Pennsylvania.",0,nafta signed by bill clinton has been a disaster for pennsylvania
Social Security has not contributed to the debt and the deficits.,0,social security has not contributed to the debt and the deficits
The American Power Act would cut our dependence on oil in half.,1,the american power act would cut our dependence on oil in half
Texas is one of only a handful of states that does not have an equal pay law.,0,texas is one of only a handful of states that does not have an equal pay law
Says Charlie Crists campaign bashedSen. Bill Nelsons big-government solutions.,0,says charlie crists campaign bashedsen bill nelsons biggovernment solutions
"There is no incontrovertible proof that speed, in and of itself, is the contributing factor to increasing (vehicular) fatalities.",1,there is no incontrovertible proof that speed in and of itself is the contributing factor to increasing vehicular fatalities
Says proposed anti-abortion legislation would force women facing the most personal of health decisions to endure a transvaginal ultrasound.,1,says proposed antiabortion legislation would force women facing the most personal of health decisions to endure a transvaginal ultrasound
Two of the top three (rated) public high schools in Wisconsin Ronald Reagan College Prep and Rufus King International are MPS schools.,1,two of the top three rated public high schools in wisconsin ronald reagan college prep and rufus king international are mps schools
"By 2009, dozens of senior terrorists had been taken off the battlefield by drones.",1,by  dozens of senior terrorists had been taken off the battlefield by drones
"Says Tommy Thompson favors Obamas health care mandate, was publicly thanked by Obama for health reform support and that Thompson says we cant repeal Obamacare.",0,says tommy thompson favors obamas health care mandate was publicly thanked by obama for health reform support and that thompson says we cant repeal obamacare
"Says state Rep. Jim Keffer, a GOP lieutenant to House Speaker Joe Straus, ""did mail pieces for Democrat Mark Strama to help him defeat"" a Republican.",1,says state rep jim keffer a gop lieutenant to house speaker joe straus did mail pieces for democrat mark strama to help him defeat a republican
On abortion rights.,1,on abortion rights
"The Department of Justice, under the Obama administration, disagrees with the decision Judge Sotomayor made in the Ricci vs. DeStefano case.",1,the department of justice under the obama administration disagrees with the decision judge sotomayor made in the ricci vs destefano case
"Says that since 1975, redistricting by Texas lawmakers has always been found in violation of Section 5 of the Voting Rights Act.",1,says that since  redistricting by texas lawmakers has always been found in violation of section  of the voting rights act
There was serious voter fraud in New Hampshire.,0,there was serious voter fraud in new hampshire
Tallahassee is the ninth-rainiest (city) in the nation.,1,tallahassee is the ninthrainiest city in the nation
Knopp says he upheld a campaign promise not to join the Public Employees Retirement System (PERS).,1,knopp says he upheld a campaign promise not to join the public employees retirement system pers
The United States is the only advanced country on Earth that doesnt guarantee paid maternity leave to our workers.,1,the united states is the only advanced country on earth that doesnt guarantee paid maternity leave to our workers
Faculty salaries at UW System institutions have now fallen more than 18 percent below the national average.,1,faculty salaries at uw system institutions have now fallen more than  percent below the national average
ISIS is in 32 countries.,1,isis is in  countries
"After the oil spill, Congressman Adam Putnam ""doubled down saying all energy sources, including oil drilling in the Gulf, should be considered just days after the oil spill started.""",1,after the oil spill congressman adam putnam doubled down saying all energy sources including oil drilling in the gulf should be considered just days after the oil spill started
Global surface temperatures have been flat for 16 years.,1,global surface temperatures have been flat for  years
Says the Democratic Party createda debate schedule to maximize the opportunity for voters to see our candidates.,0,says the democratic party createda debate schedule to maximize the opportunity for voters to see our candidates
Says he lived up to a 2008 promise when he closed corporate tax loopholes that were sending profits overseas.,1,says he lived up to a  promise when he closed corporate tax loopholes that were sending profits overseas
"The United States has an immigration system where only 6.5 percent of people who come here, come here based on labor and skill.",1,the united states has an immigration system where only  percent of people who come here come here based on labor and skill
We now consume at the federal level 25 percent of the gross domestic product. Historically we were at 20 percent. So weve taken 5 percent away from the private sector.,1,we now consume at the federal level  percent of the gross domestic product historically we were at  percent so weve taken  percent away from the private sector
The Export-Import Bank doesnt cost taxpayers anything.,1,the exportimport bank doesnt cost taxpayers anything
Says Gov. Rick Scott is spending a quarter of a million of our tax dollars to robocall people.,0,says gov rick scott is spending a quarter of a million of our tax dollars to robocall people
Obama says hes put forward a specific $4 trillion deficit reduction plan.,1,obama says hes put forward a specific  trillion deficit reduction plan
"On allowing abortion in cases of rape or incest, I have never said that or advocated that.",0,on allowing abortion in cases of rape or incest i have never said that or advocated that
"In South Florida, weve had nine inches of sea-level rise since the 1920s.",1,in south florida weve had nine inches of sealevel rise since the 
"Inequality in Texas is steadily getting worse, with very few rich people, a great many poor people, and fewer and fewer in the middle.",1,inequality in texas is steadily getting worse with very few rich people a great many poor people and fewer and fewer in the middle
Says Mitt Romney has a corporation in Bermuda (but) failed to disclose that on seven different financial disclosures.,1,says mitt romney has a corporation in bermuda but failed to disclose that on seven different financial disclosures
Washing your hands and covering your mouth when you cough makes a huge difference in reducing transmission of the flu.,1,washing your hands and covering your mouth when you cough makes a huge difference in reducing transmission of the flu
"Half of all personal bankruptcies in America ""are caused by medical bills.""",1,half of all personal bankruptcies in america are caused by medical bills
The president of the United States came in the Tuesday before the election in a ward that went 99% for him in the last election and they couldnt even (increase) the vote there.,1,the president of the united states came in the tuesday before the election in a ward that went  for him in the last election and they couldnt even increase the vote there
"Spending on welfare, on prisons, and education, all of those have dropped by hundreds of millions of dollars because of Arizonas immigration laws that drove outundocumented immigrants.",0,spending on welfare on prisons and education all of those have dropped by hundreds of millions of dollars because of arizonas immigration laws that drove outundocumented immigrants
"Over the last 20 years, the world has changed. It used to be that one could make a career out of working for one company. Today, the average worker stays at his or her job for barely four years.",0,over the last  years the world has changed it used to be that one could make a career out of working for one company today the average worker stays at his or her job for barely four years
We gave every public employee in the state the freedom to choose whether or not they want to be in a union.,0,we gave every public employee in the state the freedom to choose whether or not they want to be in a union
Scott Walker raises nearly 70 percent of his money from out of state,0,scott walker raises nearly  percent of his money from out of state
David Simpson actually voted for drivers licenses for illegal immigrants.,0,david simpson actually voted for drivers licenses for illegal immigrants
Saysproposal to boostteacherpension fundputs no mandate on local government.,0,saysproposal to boostteacherpension fundputs no mandate on local government
"Says after Hillary Clinton helped a man accused of raping a 12-year-old, shes seen laughing on two separate occasions, laughing at the girl who was raped.",0,says after hillary clinton helped a man accused of raping a  shes seen laughing on two separate occasions laughing at the girl who was raped
Says Gov. Scott Walker said no to equal pay for equal work for women.,0,says gov scott walker said no to equal pay for equal work for women
Says Bill Whites program to bring dropouts back to school was so successful that almost every city in our state has replicated it.,1,says bill whites program to bring dropouts back to school was so successful that almost every city in our state has replicated it
We werent told they wanted more security for diplomatic facilities in Libya.,0,we werent told they wanted more security for diplomatic facilities in libya
Says Hillary Clinton spent 30 days in the hospital in 2012 and appeared wearing glasses that are only for people who have traumatic brain injury.,0,says hillary clinton spent  days in the hospital in  and appeared wearing glasses that are only for people who have traumatic brain injury
"When I became president and CEO of Godfathers Pizza, it was supposed to go bankrupt . . . We turned it around with common-sense business principles.",1,when i became president and ceo of godfathers pizza it was supposed to go bankrupt    we turned it around with commonsense business principles
"In Houston, Texas, today, there are no homeless veterans.",0,in houston texas today there are no homeless veterans
Says the City of Portland alone has 84 public relation representatives on payroll which cost taxpayers over $6.2 million (a year).,0,says the city of portland alone has  public relation representatives on payroll which cost taxpayers over  million a year
"Since Obama took office, a net of 540,000 additional black Americans Obamas strongest supporters have lost their jobs.",1,since obama took office a net of  additional black americans obamas strongest supporters have lost their jobs
Charlie Crists personal approval numbers are plummeting.,0,charlie crists personal approval numbers are plummeting
Most countries have no debt ceiling.,1,most countries have no debt ceiling
"My opponent was on both the city of Chicago payroll and the state of Illinois payroll simultaneously, taking full salary, funding her full pension benefits both as a city worker and as a state worker for 10 years.",1,my opponent was on both the city of chicago payroll and the state of illinois payroll simultaneously taking full salary funding her full pension benefits both as a city worker and as a state worker for  years
Says he holds the record for most appearances on Meet the Press.,1,says he holds the record for most appearances on meet the press
Says Saddam Hussein had a 10-year relationship with al-Qaida.,0,says saddam hussein had a  relationship with alqaida
Congresswoman Frederica Wilson successfully postpones closure of the North Perry airport tower.,0,congresswoman frederica wilson successfully postpones closure of the north perry airport tower
"Every day, about 100 people will be arrested for possession of marijuana in Georgia.",0,every day about  people will be arrested for possession of marijuana in georgia
"Says that according to many reports and even our own data, the state of Texas spent more through Medicaid on orthodontia than all other states combined.",1,says that according to many reports and even our own data the state of texas spent more through medicaid on orthodontia than all other states combined
"Just like Hillary Clinton, Russ Feingold had a run-in with corruption and scandal by using a personal slush fund -- a.k.a. the Feingold Foundation -- while plotting another run for U.S. Senate.",0,just like hillary clinton russ feingold had a runin with corruption and scandal by using a personal slush fund  aka the feingold foundation  while plotting another run for us senate
We know that every 85 visitors create one Florida job.,1,we know that every  visitors create one florida job
"Since 2009, after-tax incomes are up nearly 14 percent.",1,since  aftertax incomes are up nearly  percent
"We understand that this heroin is primarily coming from Mexico, over the border.",1,we understand that this heroin is primarily coming from mexico over the border
Ted Cruz has been to Iowa four times. Rio Grande Valley of Texas -- just once.,1,ted cruz has been to iowa four times rio grande valley of texas  just once
Says the media created the term polar vortex and the cold air proves the ice isnt melting.,0,says the media created the term polar vortex and the cold air proves the ice isnt melting
"New Jersey today has fewer employees in state government than it had when Christie Whitman left office in January of 2001, and I think thats good. And we did it without any layoffs. We did it through attrition.",0,new jersey today has fewer employees in state government than it had when christie whitman left office in january of  and i think thats good and we did it without any layoffs we did it through attrition
"Over the past 10 years, the number of people living in Lower Manhattan has nearly doubled. In fact, Lower Manhattan has added more people over the last 10 years than Atlanta, Dallas and Philadelphia combined.",1,over the past  years the number of people living in lower manhattan has nearly doubled in fact lower manhattan has added more people over the last  years than atlanta dallas and philadelphia combined
"Before we even passed health care, 4 millions kids got health insurance that didnt have it before, through the Childrens Health Insurance Program.",1,before we even passed health care  millions kids got health insurance that didnt have it before through the childrens health insurance program
"The top man at Yale Law School came out ... with just a raging report about former HP CEO Carly Fiorina,saying she isone of the worst executives in his memory in history running the company.",1,the top man at yale law school came out  with just a raging report about former hp ceo carly fiorinasaying she isone of the worst executives in his memory in history running the company
The American slave trade caused 5 million deaths or more.,0,the american slave trade caused  million deaths or more
"Last week, the Supreme Court reversed a century of law that I believe will open the floodgates for special interests including foreign corporations to spend without limit in our elections.",0,last week the supreme court reversed a century of law that i believe will open the floodgates for special interests including foreign corporations to spend without limit in our elections
Says Texas colleges and universities may opt to allow guns on campuses.,1,says texas colleges and universities may opt to allow guns on campuses
The vast majority of minimum wage workers get a raise within a year.,1,the vast majority of minimum wage workers get a raise within a year
"I'm predicting (the Saints) will go not only undefeated, but all the way through the Super Bowl -- something that's never been done before.",0,im predicting the saints will go not only undefeated but all the way through the super bowl  something thats never been done before
"We have one of the most expensive General Assemblies, per capita, in the entire country.",1,we have one of the most expensive general assemblies per capita in the entire country
"Since that famous day in February where the governor campaigned with Barack Obama on behalf of the stimulus program, 211,000 Floridians have lost their jobs.",1,since that famous day in february where the governor campaigned with barack obama on behalf of the stimulus program  floridians have lost their jobs
"Barack Obama's health care plan ""would leave 15 million Americans out.""",1,barack obamas health care plan would leave  million americans out
"Says of 80,000 people who were denied a firearm in 2012 due to a failed background check, only 44 were prosecuted.",1,says of  people who were denied a firearm in  due to a failed background check only  were prosecuted
The health care numbers are going up.,0,the health care numbers are going up
While I was mayor of the city of Providence we had the lowest crime rate in 30 years.,1,while i was mayor of the city of providence we had the lowest crime rate in  years
Weve spent $6 trillion on the wars in the Middle East.,1,weve spent  trillion on the wars in the middle east
Says proponents of a bond package for the Austin school district say the district has the second-lowest bond tax rate among the Central Texas area school districts.,1,says proponents of a bond package for the austin school district say the district has the secondlowest bond tax rate among the central texas area school districts
"400,000 Oregonians have gained access to health care through the Affordable Care Act.",1, oregonians have gained access to health care through the affordable care act
"20,000 Kansans lost their health insurance because of (Obamacare).",0, kansans lost their health insurance because of obamacare
"Once the U.S. government signs a U.N. treaty on conventional arms, ""all U.S. citizens will be subject to those gun laws created by foreign governments.""",0,once the us government signs a un treaty on conventional arms all us citizens will be subject to those gun laws created by foreign governments
"Drilling in ANWR would have minimal impact, covering only ""2,000 out of 20-million acres.""",1,drilling in anwr would have minimal impact covering only  out of  acres
Warren Buffett recently said Scrap Obamacare and Start All Over.,0,warren buffett recently said scrap obamacare and start all over
"When Georgia tightened its voter identification laws, the state sent a van and photographer to the homes of people who needed photo IDs and made them for free.",0,when georgia tightened its voter identification laws the state sent a van and photographer to the homes of people who needed photo ids and made them for free
"Over 40 of our 100 (House of) Delegates seats go uncontested every year, and over 40 percent of our state senate seats go uncontested every year.",1,over  of our  house of delegates seats go uncontested every year and over  percent of our state senate seats go uncontested every year
Says Jeanne Shaheen voted to pave the way for a new national energy tax.,0,says jeanne shaheen voted to pave the way for a new national energy tax
"Since Obamacare became law, most of our new jobs have been part-time jobs.",0,since obamacare became law most of our new jobs have been parttime jobs
"Says that in Ohio right now, you could be 8 months pregnant and have an abortion for no reason.",1,says that in ohio right now you could be  months pregnant and have an abortion for no reason
We have killed lots of innocent people in the state of Texas.,0,we have killed lots of innocent people in the state of texas
"In some states, it is still legal to deny a woman coverage because she's been the victim of domestic violence.",1,in some states it is still legal to deny a woman coverage because shes been the victim of domestic violence
"Of every three dollars in food stamps for the needy, seven dollars in salaries and pensions (go to) the bureaucrats who are supposed to be taking care of the poor.",0,of every three dollars in food stamps for the needy seven dollars in salaries and pensions go to the bureaucrats who are supposed to be taking care of the poor
"Former Alaska Governor Sarah Palin was right that President Barack Obamas health care bill created what would, in effect, be death panels.",0,former alaska governor sarah palin was right that president barack obamas health care bill created what would in effect be death panels
Bill McCollum has accepted thousands from lobbyists for Planned Parenthood.,0,bill mccollum has accepted thousands from lobbyists for planned parenthood
"Cap and trade legislation that Zack Space supported would cost the average household approximately $1,761 per year in increased energy rates.",0,cap and trade legislation that zack space supported would cost the average household approximately  per year in increased energy rates
The Declaration of Independence was written on paper made out of hemp.,0,the declaration of independence was written on paper made out of hemp
Jason Carters plan: increase spending by $12.5 billion.,0,jason carters plan increase spending by  billion
"Dan Seals has been running for office since before there were, like, iPods.",0,dan seals has been running for office since before there were like ipods
Whales live as long at SeaWorld as they do in the wild.,1,whales live as long at seaworld as they do in the wild
Women earn only 77 cents for every dollar earned by men in the same position.,0,women earn only  cents for every dollar earned by men in the same position
